date,package,version,cumulative,clamped
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.1,92,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.10,97,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.11,123,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.12,132,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.2,213,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.3,93,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.4,102,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.5,113,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.6,127,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.7,130,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.8,101,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.9,126,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.4.0,146,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.5.0,157,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.6.0,128,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.7.0,176,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.8.0,125,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.9.0,204,
